Date,PX_LAST
6/7/93,929.79
6/8/93,928.45
6/9/93,931.28
6/10/93,930.5
6/11/93,938.66
6/14/93,943.21
6/15/93,925.65
6/16/93,914.04
6/17/93,911.43
6/18/93,899.01
6/21/93,874.93
6/22/93,882.82
6/23/93,887.53
6/24/93,891.34
6/25/93,904.81
6/28/93,913.94
6/29/93,904.83
6/30/93,914.94
7/1/93,915.61
7/2/93,902.19
7/5/93,899.72
7/6/93,905.26
7/7/93,906.56
7/8/93,904.62
7/9/93,901.13
7/12/93,900.38
7/13/93,915.66
7/14/93,916
7/15/93,919.2
7/16/93,917.27
7/19/93,920.79
7/20/93,916.85
7/21/93,916.84
7/22/93,920.27
7/23/93,914.85
7/26/93,921.1
7/27/93,927
7/28/93,929.29
7/29/93,940.67
7/30/93,945.8
8/2/93,946.96
8/3/93,956.06
8/4/93,962.02
8/5/93,959.87
8/6/93,960.41
8/9/93,962.68
8/10/93,959.3
8/11/93,970.21
8/12/93,975.31
8/13/93,977.55
8/16/93,988.74
8/17/93,990.16
8/18/93,996.15
8/19/93,999.17
8/20/93,979.29
8/23/93,978.16
8/24/93,975.48
8/25/93,971.24
8/26/93,978.06
8/27/93,989.04
8/30/93,992.35
8/31/93,995.68
9/1/93,992.28
9/2/93,990.1
9/3/93,991.66
9/6/93,1003.55
9/7/93,999.64
9/8/93,989.08
9/9/93,995.79
9/10/93,985.67
9/13/93,991.99
9/14/93,989.41
9/15/93,988.75
9/16/93,978.07
9/17/93,982.81
9/20/93,981.17
9/21/93,978.21
9/22/93,961.89
9/23/93,961.3
9/24/93,962.87
9/27/93,967.14
9/28/93,970.22
9/29/93,971.97
9/30/93,972.07
10/1/93,972.45
10/4/93,979.69
10/5/93,986.15
10/6/93,996.79
10/7/93,994.42
10/8/93,1003.1
10/11/93,1001.27
10/12/93,1003.65
10/13/93,998.49
10/14/93,992.09
10/15/93,1000.59
10/18/93,998.84
10/19/93,994.76
10/20/93,996.86
10/21/93,996.89
10/22/93,1001.76
10/25/93,1005.25
10/26/93,997.42
10/27/93,988.82
10/28/93,980.85
10/29/93,1000.85
11/1/93,992.52
11/2/93,996.31
11/3/93,1000.28
11/4/93,987.34
11/5/93,967.9
11/8/93,973.52
11/9/93,962.37
11/10/93,963.03
11/11/93,969.21
11/12/93,976.83
11/15/93,976.32
11/16/93,976.07
11/17/93,970.9
11/18/93,973.23
11/19/93,961.75
11/22/93,942.9
11/23/93,938.08
11/24/93,938.46
11/25/93,941.1
11/26/93,926.33
11/29/93,901.49
11/30/93,912.19
12/1/93,940.54
12/2/93,948
12/3/93,949.14
12/6/93,949.79
12/7/93,953.26
12/8/93,948.82
12/9/93,962.09
12/10/93,968.37
12/13/93,970.15
12/14/93,958.64
12/15/93,956.79
12/16/93,967.85
12/17/93,977.88
12/20/93,965.65
12/21/93,965.74
12/22/93,972.2
12/23/93,981.54
12/24/93,977.63
12/27/93,970.98
12/28/93,978.73
12/29/93,978.51
12/30/93,974.75
12/31/93,976.9
1/3/94,979.04
1/4/94,980.37
1/5/94,984.71
1/6/94,984.03
1/7/94,991.02
1/10/94,997.88
1/11/94,990.97
1/12/94,985.54
1/13/94,974.95
1/14/94,992.77
1/17/94,991.57
1/18/94,996
1/19/94,1010.04
1/20/94,1010.79
1/21/94,1015.19
1/24/94,993.51
1/25/94,999.98
