"","0.9","0.95","0.99"
"AGG",-0.128352492777544,-0.128352492777544,NA
"HYG",-0.342468170755359,NA,NA
"TIP",-0.145671703187339,NA,NA
"BCOM",-0.571349984513756,NA,NA
"BUHY",-0.0861254508489373,-0.0861254508489373,-0.0863574134802123
"G0O1",-0.00255014804011267,-0.00255014804011278,-0.00255014804011278
"LTP5TRUU",-0.0347583407332247,-0.0347583407332247,NA
"MXEA",-0.617753716700491,-0.61846412753167,-0.61846412753167
"MXEF",NA,NA,NA
"RAY",NA,NA,NA
"RMZ",NA,NA,NA
"SPX",-0.548533525942195,-0.567753889403571,-0.567753889403571
"USGG10YR",-0.656634898582864,-0.674535085066712,-0.687038693641885
