"","0.9","0.95","0.99"
"AGG",-0.0559625864944885,-0.0772466526532618,-0.128352492777544
"HYG",-0.184178132953418,-0.240716080636857,-0.296566654794906
"TIP",-0.0747588009107987,-0.098950344290362,-0.130980208986521
"BCOM",-0.18142829519894,-0.225428242476695,-0.380340238526042
"BUHY",-0.0580713488319233,-0.0627085727497387,-0.0757930295789735
"G0O1",-0.000913334717580874,-0.00143458173402607,-0.00255014804011257
"LTP5TRUU",-0.0206232085123353,-0.0238470403716747,-0.0292338525652182
"MXEA",-0.203908848538074,-0.237337939405818,-0.333246223321552
"MXEF",-0.262108013796794,-0.308033352303459,-0.480295344827696
"RAY",-0.206454086382244,-0.256425923935847,-0.359453792886403
"RMZ",-0.373016187067104,-0.4840878444098,-0.63449903468616
"SPX",-0.183512618955791,-0.226740086710476,-0.324618087522248
"USGG10YR",-0.2328136641823,-0.281127880823653,-0.418329882663397
