"","Dd","Date"
"1",0.0459026737124379,1988-06-27
"2",0.0459026737124378,1988-06-28
"3",0.0459026737124379,1988-06-29
"4",0.0459026737124378,1988-06-30
"5",0.0459026737124377,1988-07-01
"6",0.0459026737124377,1988-07-04
"7",0.0459026737124378,1988-07-05
"8",0.0459026737124378,1988-07-06
"9",0.0459026737124378,1988-07-07
"10",0.0459026737124378,1988-07-08
"11",0.0459026737124378,1988-07-11
"12",0.0459026737124378,1988-07-12
"13",0.0459026737124379,1988-07-13
"14",0.0459026737124379,1988-07-14
"15",0.0459026737124379,1988-07-15
"16",0.0459026737124378,1988-07-18
"17",0.0459026737124378,1988-07-19
"18",0.0459026737124378,1988-07-20
"19",0.0459026737124378,1988-07-21
"20",0.0459026737124378,1988-07-22
"21",0.0459026737124378,1988-07-25
"22",0.0557444920893093,1988-07-26
"23",0.0557444920893094,1988-07-27
"24",0.0557444920893093,1988-07-28
"25",0.0557444920893094,1988-07-29
"26",0.0557444920893094,1988-08-01
"27",0.0557444920893093,1988-08-02
"28",0.0557444920893094,1988-08-03
"29",0.0557444920893094,1988-08-04
"30",0.0557444920893093,1988-08-05
"31",0.0557444920893094,1988-08-08
"32",0.0557444920893093,1988-08-09
"33",0.0557444920893093,1988-08-10
"34",0.0557444920893093,1988-08-11
"35",0.0557444920893094,1988-08-12
"36",0.0557444920893094,1988-08-15
"37",0.0557444920893094,1988-08-16
"38",0.0557444920893094,1988-08-17
"39",0.0557444920893094,1988-08-18
"40",0.0557444920893094,1988-08-19
"41",0.0581842377643055,1988-08-22
"42",0.0642466361082359,1988-08-23
"43",0.0642466361082359,1988-08-24
"44",0.0642466361082358,1988-08-25
"45",0.0642466361082359,1988-08-26
"46",0.0655774064764157,1988-08-29
"47",0.0690521957711073,1988-08-30
"48",0.0690521957711074,1988-08-31
"49",0.0711962146976194,1988-09-01
"50",0.0711962146976195,1988-09-02
"51",0.0711962146976194,1988-09-05
"52",0.0711962146976195,1988-09-06
"53",0.0711962146976194,1988-09-07
"54",0.0711962146976194,1988-09-08
"55",0.0711962146976195,1988-09-09
"56",0.0711962146976194,1988-09-12
"57",0.0711962146976194,1988-09-13
"58",0.0711962146976194,1988-09-14
"59",0.0711962146976194,1988-09-15
"60",0.0711962146976194,1988-09-16
"61",0.0711962146976194,1988-09-19
"62",0.0711962146976194,1988-09-20
"63",0.0711962146976193,1988-09-21
"64",0.0711962146976193,1988-09-22
"65",0.0711962146976194,1988-09-23
"66",0.0711962146976194,1988-09-26
"67",0.0711962146976192,1988-09-27
"68",0.0711962146976195,1988-09-28
"69",0.0711962146976193,1988-09-29
"70",0.0711962146976193,1988-09-30
