"","Dd","Date"
"1",0,1992-06-30
"2",0,1992-07-01
"3",0,1992-07-02
"4",0,1992-07-06
"5",0,1992-07-07
"6",0,1992-07-08
"7",0,1992-07-09
"8",0,1992-07-10
"9",0,1992-07-13
"10",0,1992-07-14
"11",0,1992-07-15
"12",0,1992-07-16
"13",0,1992-07-17
"14",0,1992-07-20
"15",0,1992-07-21
"16",0,1992-07-22
"17",0,1992-07-23
"18",0,1992-07-24
"19",0,1992-07-27
"20",0,1992-07-28
"21",0,1992-07-29
"22",0,1992-07-30
"23",0,1992-07-31
"24",0,1992-08-03
"25",0,1992-08-04
"26",0,1992-08-05
"27",0,1992-08-06
"28",0,1992-08-07
"29",0,1992-08-10
"30",0,1992-08-11
"31",0,1992-08-12
"32",0,1992-08-13
"33",0,1992-08-14
"34",0,1992-08-17
"35",0,1992-08-18
"36",0,1992-08-19
"37",0,1992-08-20
"38",0,1992-08-21
"39",0,1992-08-24
"40",0,1992-08-25
"41",0,1992-08-26
"42",0,1992-08-27
"43",0,1992-08-28
"44",0,1992-08-31
"45",0,1992-09-01
"46",0,1992-09-02
"47",0,1992-09-03
"48",0,1992-09-04
"49",0,1992-09-08
"50",0,1992-09-09
"51",0,1992-09-10
"52",0,1992-09-11
"53",0,1992-09-14
"54",0,1992-09-15
"55",0,1992-09-16
"56",0,1992-09-17
"57",0,1992-09-18
"58",0,1992-09-21
"59",0,1992-09-22
"60",0,1992-09-23
"61",0,1992-09-24
"62",0,1992-09-25
"63",0,1992-09-28
"64",0,1992-09-29
"65",0,1992-09-30
"66",0,1992-10-01
"67",2.7474942851935e-06,1992-10-02
"68",2.74749428541554e-06,1992-10-05
"69",2.19757278088206e-05,1992-10-06
"70",0.000186793686373421,1992-10-07
"71",0.000186793686373532,1992-10-08
"72",0.000186793686373532,1992-10-09
"73",0.000186793686373199,1992-10-12
"74",0.00018679368637331,1992-10-13
"75",0.000186793686373421,1992-10-14
"76",0.000186793686373199,1992-10-15
"77",0.000186793686373421,1992-10-16
"78",0.000186793686373421,1992-10-19
"79",0.000186793686373199,1992-10-20
"80",0.000186793686373199,1992-10-21
"81",0.00018679368637331,1992-10-22
"82",0.00018679368637331,1992-10-23
"83",0.000186793686373199,1992-10-26
"84",0.000186793686373421,1992-10-27
"85",0.00018679368637331,1992-10-28
"86",0.00018679368637331,1992-10-29
"87",0.000186793686373199,1992-10-30
"88",0.000186793686373421,1992-10-31
"89",0.000186793686373532,1992-11-02
"90",0.00018679368637331,1992-11-03
"91",0.00018679368637331,1992-11-04
"92",0.000186793686373199,1992-11-05
"93",0.000186793686373199,1992-11-06
"94",0.000186793686373199,1992-11-09
"95",0.00018679368637331,1992-11-10
"96",0.000186793686373421,1992-11-11
"97",0.000186793686373199,1992-11-12
"98",0.000186793686373199,1992-11-13
"99",0.00018679368637331,1992-11-16
"100",0.000186793686373199,1992-11-17
"101",0.000186793686373199,1992-11-18
"102",0.000186793686373088,1992-11-19
"103",0.000186793686373532,1992-11-20
"104",0.00018679368637331,1992-11-23
"105",0.00018679368637331,1992-11-24
"106",0.000186793686373421,1992-11-25
"107",0.000186793686373199,1992-11-27
"108",0.000186793686373421,1992-11-30
"109",0.00018679368637331,1992-12-01
"110",0.000186793686373421,1992-12-02
"111",0.00018679368637331,1992-12-03
"112",0.000186793686373199,1992-12-04
"113",0.000186793686373199,1992-12-07
"114",0.000186793686373199,1992-12-08
"115",0.00018679368637331,1992-12-09
"116",0.00018679368637331,1992-12-10
"117",0.00018679368637331,1992-12-11
"118",0.00018679368637331,1992-12-14
"119",0.000186793686373199,1992-12-15
"120",0.00018679368637331,1992-12-16
"121",0.000186793686373421,1992-12-17
"122",0.00018679368637331,1992-12-18
"123",0.00018679368637331,1992-12-21
"124",0.000186793686373199,1992-12-22
"125",0.000186793686373421,1992-12-23
"126",0.000186793686373199,1992-12-24
"127",0.000186793686373421,1992-12-28
"128",0.000186793686373199,1992-12-29
"129",0.00018679368637331,1992-12-30
"130",0.00018679368637331,1992-12-31
"131",0.00018679368637331,1993-01-04
"132",0.000164821580638796,1993-01-05
"133",7.95315863808543e-05,1993-01-06
"134",7.95315863808543e-05,1993-01-07
"135",7.95315863807433e-05,1993-01-08
"136",7.95315863809654e-05,1993-01-11
"137",7.95315863806323e-05,1993-01-12
"138",7.95315863808543e-05,1993-01-13
"139",7.95315863807433e-05,1993-01-14
"140",7.95315863808543e-05,1993-01-15
"141",7.95315863807433e-05,1993-01-18
"142",7.95315863807433e-05,1993-01-19
"143",7.95315863808543e-05,1993-01-20
"144",7.95315863808543e-05,1993-01-21
"145",7.95315863808543e-05,1993-01-22
"146",7.95315863807433e-05,1993-01-25
"147",7.95315863809654e-05,1993-01-26
"148",7.95315863808543e-05,1993-01-27
"149",7.95315863808543e-05,1993-01-28
"150",6.25458896474917e-05,1993-01-29
"151",6.25458896474917e-05,1993-01-31
"152",6.25458896472697e-05,1993-02-01
"153",6.25458896473807e-05,1993-02-02
"154",6.25458896476028e-05,1993-02-03
"155",6.25458896472697e-05,1993-02-04
"156",6.25458896474917e-05,1993-02-05
"157",6.25458896473807e-05,1993-02-08
"158",6.25458896472697e-05,1993-02-09
"159",6.25458896474917e-05,1993-02-10
"160",6.25458896474917e-05,1993-02-11
"161",6.25458896473807e-05,1993-02-12
"162",6.25458896473807e-05,1993-02-16
"163",6.25458896473807e-05,1993-02-17
"164",6.25458896472697e-05,1993-02-18
"165",6.25458896476028e-05,1993-02-19
"166",6.25458896474917e-05,1993-02-22
"167",6.25458896473807e-05,1993-02-23
"168",6.25458896472697e-05,1993-02-24
"169",6.25458896473807e-05,1993-02-25
"170",7.05342973021938e-05,1993-02-26
"171",7.05342973019718e-05,1993-02-28
"172",7.05342973021938e-05,1993-03-01
"173",7.05342973021938e-05,1993-03-02
"174",7.05342973020828e-05,1993-03-03
"175",7.05342973019718e-05,1993-03-04
"176",7.05342973019718e-05,1993-03-05
"177",7.05342973020828e-05,1993-03-08
"178",7.05342973020828e-05,1993-03-09
"179",7.05342973020828e-05,1993-03-10
"180",7.05342973021938e-05,1993-03-11
"181",7.05342973019718e-05,1993-03-12
"182",7.05342973020828e-05,1993-03-15
"183",7.05342973020828e-05,1993-03-16
"184",7.05342973019718e-05,1993-03-17
"185",7.05342973021938e-05,1993-03-18
"186",7.05342973019718e-05,1993-03-19
"187",7.05342973020828e-05,1993-03-22
"188",7.05342973020828e-05,1993-03-23
"189",7.05342973021938e-05,1993-03-24
"190",7.05342973019718e-05,1993-03-25
"191",7.05342973020828e-05,1993-03-26
"192",7.05342973019718e-05,1993-03-29
"193",7.05342973020828e-05,1993-03-30
"194",7.05342973020828e-05,1993-03-31
"195",7.05342973020828e-05,1993-04-01
"196",7.05342973020828e-05,1993-04-02
"197",7.05342973021938e-05,1993-04-05
"198",7.05342973020828e-05,1993-04-06
"199",7.05342973020828e-05,1993-04-07
"200",7.05342973020828e-05,1993-04-08
"201",7.05342973020828e-05,1993-04-12
"202",7.05342973020828e-05,1993-04-13
"203",7.05342973019718e-05,1993-04-14
"204",7.05342973021938e-05,1993-04-15
"205",7.05342973021938e-05,1993-04-16
"206",7.05342973021938e-05,1993-04-19
"207",7.05342973020828e-05,1993-04-20
"208",7.05342973020828e-05,1993-04-21
"209",7.05342973020828e-05,1993-04-22
"210",7.05342973019718e-05,1993-04-23
"211",7.05342973019718e-05,1993-04-26
"212",7.05342973020828e-05,1993-04-27
"213",7.05342973021938e-05,1993-04-28
"214",7.05342973021938e-05,1993-04-29
"215",7.05342973021938e-05,1993-04-30
"216",7.05342973019718e-05,1993-05-03
"217",7.05342973019718e-05,1993-05-04
"218",7.05342973020828e-05,1993-05-05
"219",7.05342973020828e-05,1993-05-06
"220",7.05342973020828e-05,1993-05-07
"221",7.05342973020828e-05,1993-05-10
"222",7.05342973018608e-05,1993-05-11
"223",7.05342973019718e-05,1993-05-12
"224",7.05342973019718e-05,1993-05-13
"225",7.05342973021938e-05,1993-05-14
"226",7.05342973021938e-05,1993-05-17
"227",7.05342973020828e-05,1993-05-18
"228",7.05342973018608e-05,1993-05-19
"229",7.05342973021938e-05,1993-05-20
"230",7.05342973021938e-05,1993-05-21
"231",7.05342973020828e-05,1993-05-24
"232",7.05342973020828e-05,1993-05-25
"233",1.62402254142435e-05,1993-05-26
"234",1.62402254142435e-05,1993-05-27
"235",1.62402254142435e-05,1993-05-28
"236",1.62402254143545e-05,1993-05-31
"237",1.62402254142435e-05,1993-06-01
"238",1.62402254142435e-05,1993-06-02
"239",1.62402254143545e-05,1993-06-03
"240",7.8063802353201e-05,1993-06-04
"241",7.8063802353201e-05,1993-06-07
"242",7.8063802353312e-05,1993-06-08
"243",7.806380235309e-05,1993-06-09
"244",7.806380235309e-05,1993-06-10
"245",7.8063802353312e-05,1993-06-11
"246",7.8063802353312e-05,1993-06-14
"247",7.8063802353312e-05,1993-06-15
"248",7.8063802353312e-05,1993-06-16
"249",7.8063802353312e-05,1993-06-17
"250",7.8063802353201e-05,1993-06-18
"251",7.8063802353201e-05,1993-06-21
"252",7.8063802353201e-05,1993-06-22
"253",7.8063802353201e-05,1993-06-23
"254",7.806380235309e-05,1993-06-24
"255",7.8063802353312e-05,1993-06-25
"256",7.8063802353201e-05,1993-06-28
"257",7.8063802353201e-05,1993-06-29
"258",7.8063802353201e-05,1993-06-30
"259",7.8063802353312e-05,1993-07-01
"260",7.8063802353312e-05,1993-07-02
"261",7.806380235309e-05,1993-07-06
"262",7.806380235309e-05,1993-07-07
"263",7.8063802353201e-05,1993-07-08
"264",7.8063802353201e-05,1993-07-09
"265",7.8063802353201e-05,1993-07-12
"266",7.806380235309e-05,1993-07-13
"267",7.8063802353312e-05,1993-07-14
"268",7.8063802353201e-05,1993-07-15
"269",7.8063802353312e-05,1993-07-16
"270",7.8063802353201e-05,1993-07-19
"271",7.806380235309e-05,1993-07-20
"272",7.806380235309e-05,1993-07-21
"273",7.8063802353201e-05,1993-07-22
"274",7.8063802353201e-05,1993-07-23
"275",7.806380235309e-05,1993-07-26
"276",7.8063802353201e-05,1993-07-27
"277",7.8063802353201e-05,1993-07-28
"278",7.8063802353201e-05,1993-07-29
"279",7.806380235309e-05,1993-07-30
"280",7.8063802353201e-05,1993-07-31
"281",7.8063802353201e-05,1993-08-02
"282",7.8063802353201e-05,1993-08-03
"283",7.8063802353312e-05,1993-08-04
"284",7.8063802353201e-05,1993-08-05
"285",7.8063802353201e-05,1993-08-06
"286",7.8063802353201e-05,1993-08-09
"287",7.806380235309e-05,1993-08-10
"288",7.806380235309e-05,1993-08-11
"289",7.8063802353312e-05,1993-08-12
"290",7.8063802353312e-05,1993-08-13
"291",7.806380235309e-05,1993-08-16
"292",7.806380235309e-05,1993-08-17
"293",7.8063802353201e-05,1993-08-18
"294",7.8063802353201e-05,1993-08-19
"295",7.8063802353312e-05,1993-08-20
"296",7.806380235309e-05,1993-08-23
"297",7.8063802353312e-05,1993-08-24
"298",7.806380235309e-05,1993-08-25
"299",7.806380235309e-05,1993-08-26
"300",7.806380235309e-05,1993-08-27
"301",7.8063802353312e-05,1993-08-30
"302",7.8063802353201e-05,1993-08-31
"303",0,1993-09-01
"304",0,1993-09-02
"305",0,1993-09-03
"306",0,1993-09-07
"307",0,1993-09-08
"308",0,1993-09-09
"309",0,1993-09-10
"310",0,1993-09-13
"311",0,1993-09-14
"312",0,1993-09-15
"313",0,1993-09-16
"314",0,1993-09-17
"315",0,1993-09-20
"316",0,1993-09-21
"317",0,1993-09-22
"318",0,1993-09-23
"319",0,1993-09-24
"320",0,1993-09-27
"321",0,1993-09-28
"322",0,1993-09-29
"323",0,1993-09-30
"324",0,1993-10-01
"325",0,1993-10-04
"326",0,1993-10-05
"327",0,1993-10-06
"328",0,1993-10-07
"329",0,1993-10-08
"330",0,1993-10-11
"331",0,1993-10-12
"332",0,1993-10-13
"333",0,1993-10-14
"334",0,1993-10-15
"335",0,1993-10-18
"336",0,1993-10-19
"337",0,1993-10-20
"338",0,1993-10-21
"339",0,1993-10-22
"340",0,1993-10-25
"341",0,1993-10-26
"342",0,1993-10-27
"343",0,1993-10-28
"344",0,1993-10-29
"345",0,1993-10-31
"346",0,1993-11-01
"347",0,1993-11-02
"348",0,1993-11-03
"349",0,1993-11-04
"350",0,1993-11-05
"351",0,1993-11-08
"352",0,1993-11-09
"353",0,1993-11-10
"354",0,1993-11-11
"355",0,1993-11-12
"356",0,1993-11-15
"357",0,1993-11-16
"358",0,1993-11-17
"359",0,1993-11-18
"360",0,1993-11-19
"361",0,1993-11-22
"362",0,1993-11-23
"363",0,1993-11-24
"364",0,1993-11-26
"365",0,1993-11-29
"366",0,1993-11-30
"367",0,1993-12-01
"368",0,1993-12-02
"369",0,1993-12-03
"370",0,1993-12-06
"371",0,1993-12-07
"372",0,1993-12-08
"373",0,1993-12-09
"374",0,1993-12-10
"375",0,1993-12-13
"376",0,1993-12-14
"377",0,1993-12-15
"378",0,1993-12-16
"379",0,1993-12-17
"380",0,1993-12-20
"381",0,1993-12-21
"382",0,1993-12-22
"383",0,1993-12-23
"384",0,1993-12-27
"385",0,1993-12-28
"386",0,1993-12-29
"387",0,1993-12-30
"388",0,1993-12-31
"389",0,1994-01-03
"390",0,1994-01-04
"391",0,1994-01-05
"392",0,1994-01-06
"393",0,1994-01-07
"394",0,1994-01-10
"395",0,1994-01-11
"396",0,1994-01-12
"397",0,1994-01-13
"398",0,1994-01-14
"399",0,1994-01-17
"400",0,1994-01-18
"401",0,1994-01-19
"402",0,1994-01-20
"403",0,1994-01-21
"404",0,1994-01-24
"405",0,1994-01-25
"406",0,1994-01-26
"407",0,1994-01-27
"408",0,1994-01-28
"409",0,1994-01-31
"410",0,1994-02-01
"411",0,1994-02-02
"412",0.000126496879743643,1994-02-03
"413",0.000250358407826057,1994-02-04
"414",0.000250358407825946,1994-02-07
"415",0.000250358407825946,1994-02-08
"416",0.000250358407826057,1994-02-09
"417",0.000250358407825946,1994-02-10
"418",0.000250358407826057,1994-02-11
"419",0.000250358407826168,1994-02-14
"420",0.000250358407826057,1994-02-15
"421",0.000250358407825946,1994-02-16
"422",0.000250358407825946,1994-02-17
"423",0.000250358407826057,1994-02-18
"424",0.000250358407826057,1994-02-22
"425",0.000250358407826168,1994-02-23
"426",0.000250358407826168,1994-02-24
"427",0.000250358407826168,1994-02-25
"428",0.000250358407826168,1994-02-28
"429",0.000250358407825946,1994-03-01
"430",0.000250358407825946,1994-03-02
"431",0.000250358407826168,1994-03-03
"432",0.000250358407825946,1994-03-04
"433",0.000250358407825835,1994-03-07
"434",0.000250358407826057,1994-03-08
"435",0.000250358407826057,1994-03-09
"436",0.000250358407825946,1994-03-10
"437",0.000250358407825835,1994-03-11
"438",0.000250358407825946,1994-03-14
"439",0.000250358407826057,1994-03-15
"440",0.000250358407826057,1994-03-16
"441",0.000250358407826057,1994-03-17
"442",0.000250358407825835,1994-03-18
"443",0.000250358407825946,1994-03-21
"444",0.000250358407826168,1994-03-22
"445",0.000250358407826168,1994-03-23
"446",0.000250358407826057,1994-03-24
"447",0.000250358407825946,1994-03-25
"448",0.000250358407826057,1994-03-28
"449",0.000250358407826057,1994-03-29
"450",0.000250358407825946,1994-03-30
"451",0.000250358407825835,1994-03-31
"452",0.000250358407826057,1994-04-04
"453",0.000250358407826057,1994-04-05
"454",0.000250358407826168,1994-04-06
"455",0.000250358407826168,1994-04-07
"456",0.000250358407825946,1994-04-08
"457",0.000250358407826057,1994-04-11
"458",0.000250358407826057,1994-04-12
"459",0.000250358407825946,1994-04-13
"460",0.000250358407826168,1994-04-14
"461",0.000250358407826168,1994-04-15
"462",0.000250358407826057,1994-04-18
"463",0.000250358407826168,1994-04-19
"464",0.000250358407825946,1994-04-20
"465",0.000250358407825946,1994-04-21
"466",0.000250358407826057,1994-04-22
"467",0.000250358407826057,1994-04-25
"468",0.000250358407826168,1994-04-26
"469",0.000250358407826057,1994-04-28
"470",0.000250358407826057,1994-04-29
"471",0.000250358407825946,1994-04-30
"472",0.000250358407825946,1994-05-02
"473",0.000250358407826057,1994-05-03
"474",0.000250358407826057,1994-05-04
"475",0.000123877198161426,1994-05-05
"476",0.000217098465924659,1994-05-06
"477",0.000217098465924659,1994-05-09
"478",0.00021709846592477,1994-05-10
"479",0.00021709846592477,1994-05-11
"480",0.000217098465924659,1994-05-12
"481",0.000217098465924659,1994-05-13
"482",0.000217098465924659,1994-05-16
"483",0.000217098465924548,1994-05-17
"484",0.000217098465924659,1994-05-18
"485",0.000217098465924659,1994-05-19
"486",0.000217098465924659,1994-05-20
"487",0.000217098465924881,1994-05-23
"488",0.000217098465924659,1994-05-24
"489",0.000217098465924659,1994-05-25
"490",0.000217098465924548,1994-05-26
"491",0.00021709846592477,1994-05-27
"492",0.00021709846592477,1994-05-31
"493",0.000217098465924548,1994-06-01
"494",0.000217098465924659,1994-06-02
"495",0.000217098465924659,1994-06-03
"496",0.00021709846592477,1994-06-06
"497",0.00021709846592477,1994-06-07
"498",0.000217098465924659,1994-06-08
"499",0.000217098465924881,1994-06-09
"500",0.000217098465924659,1994-06-10
"501",0.000217098465924659,1994-06-13
"502",0.000217098465924548,1994-06-14
"503",0.000217098465924548,1994-06-15
"504",0.000217098465924659,1994-06-16
"505",0.000217098465924659,1994-06-17
"506",0.000217098465924659,1994-06-20
"507",0.000217098465924548,1994-06-21
"508",0.000217098465924659,1994-06-22
"509",0.000217098465924659,1994-06-23
"510",0.00021709846592477,1994-06-24
"511",0.000217098465924548,1994-06-27
"512",0.000217098465924659,1994-06-28
"513",0.000217098465924659,1994-06-29
"514",0.000217098465924659,1994-06-30
"515",0.000217098465924659,1994-07-01
"516",0.000217098465924659,1994-07-05
"517",0.000217098465924548,1994-07-06
"518",0.000217098465924659,1994-07-07
"519",0.00021709846592477,1994-07-08
"520",0.00021709846592477,1994-07-11
"521",0.000217098465924437,1994-07-12
"522",0.000217098465924659,1994-07-13
"523",0.000217098465924548,1994-07-14
"524",0.000217098465924659,1994-07-15
"525",0.000217098465924659,1994-07-18
"526",0.000217098465924548,1994-07-19
"527",0.000217098465924548,1994-07-20
"528",0.000217098465924659,1994-07-21
"529",0.00021709846592477,1994-07-22
"530",0.000217098465924548,1994-07-25
"531",0.00021709846592477,1994-07-26
"532",0.00021709846592477,1994-07-27
"533",0.000217098465924548,1994-07-28
"534",0.000217098465924548,1994-07-29
"535",0.00021709846592477,1994-07-31
"536",0.000217098465924548,1994-08-01
"537",0.000217098465924659,1994-08-02
"538",0.000217098465924659,1994-08-03
"539",0.000137696672417031,1994-08-04
"540",0.000137696672417031,1994-08-05
"541",0.000137696672417031,1994-08-08
"542",0.000137696672417031,1994-08-09
"543",0.000137696672417031,1994-08-10
"544",0.00013769667241692,1994-08-11
"545",0.000137696672417031,1994-08-12
"546",0.00013769667241692,1994-08-15
"547",0.000137696672417031,1994-08-16
"548",0.000137696672417142,1994-08-17
"549",0.000137696672417031,1994-08-18
"550",0.000137696672417142,1994-08-19
"551",0.000137696672417142,1994-08-22
"552",0.000137696672417031,1994-08-23
"553",0.00013769667241692,1994-08-24
"554",0.000137696672417253,1994-08-25
